Date,Tdays,delta,d,tau_star,alpha_m,action,dtilde_tau,dexact_tau,exact_shortfall,prehit_max_violation,hit_err,lam,umax,N,seed_mode,seed_used,p_hat,se,ess,mean_weight,max_weight,hit_rate_Q,instanton_file
2007-10-01,60,0.2,0.2231435513142097,24,200.0,8.801772095586383,0.2231435513142097,0.22122822591943692,0.0019153253947727933,0.0,0.0,0.5,10.0,5000,per_query,2690145794,0.010823732670984736,0.003040278146877359,171.19212085552567,0.9297659491506529,184.2337015911826,0.1438,instanton_2007-10-01_T60_delta0.20_tau24_am200.npz
2007-10-01,60,0.3,0.35667494393873245,31,200.0,15.23886006759243,0.35667494393873245,0.35471128267873553,0.0019636612599969183,0.0,0.0,0.5,10.0,5000,per_query,2042543161,4.165193295730582e-05,1.1874310936038534e-05,82.29437928271689,0.7756265920111767,198.52574460964954,0.0332,instanton_2007-10-01_T60_delta0.30_tau31_am200.npz
2007-10-02,20,0.2,0.2231435513142097,20,200.0,10.72784264045594,0.2231435513142097,0.22220590075542646,0.000937650558783254,0.0,0.0,0.5,10.0,5000,per_query,1338278914,2.071530823716638e-06,3.4550809456420637e-07,109.76791952452291,1.062570385945961,274.9649739917919,0.011,instanton_2007-10-02_T20_delta0.20_tau20_am200.npz
2007-10-02,20,0.3,0.35667494393873245,20,200.0,23.886262775196876,0.35667494393873245,0.35616885611435656,0.0005060878243758893,0.0,0.0,0.5,10.0,5000,per_query,4104306526,2.1399928628000244e-11,2.1399928628000244e-11,42.24410964444741,0.8744017094084977,404.47547217741374,0.0002,instanton_2007-10-02_T20_delta0.30_tau20_am200.npz
2007-10-02,60,0.2,0.2231435513142097,29,200.0,7.489907415592122,0.2231435513142097,0.2211795003314183,0.0019640509827913988,0.0,0.0,0.5,10.0,5000,per_query,3004008603,0.005511933006687937,0.0005272074261302072,216.9087197634141,0.9945482602157408,187.72778941952902,0.1434,instanton_2007-10-02_T60_delta0.20_tau29_am200.npz
2007-10-02,60,0.3,0.35667494393873245,37,200.0,13.110162814248913,0.35667494393873245,0.35468405226857946,0.0019908916701529833,0.0,0.0,0.5,10.0,5000,per_query,2169867662,2.3032273977541692e-05,3.827119109034711e-06,50.745262251010544,1.058825513679567,453.99144723803505,0.0298,instanton_2007-10-02_T60_delta0.30_tau37_am200.npz
2007-10-03,20,0.2,0.2231435513142097,20,200.0,10.806822729510086,0.2231435513142097,0.2225473635929207,0.0005961877212889988,0.0,0.0,0.5,10.0,5000,per_query,2478040208,2.099449681281679e-06,3.850760555840559e-07,167.45299742669854,0.8916727608215262,177.40357651151612,0.0094,instanton_2007-10-03_T20_delta0.20_tau20_am200.npz
2007-10-03,20,0.3,0.35667494393873245,20,200.0,24.127783724245095,0.35667494393873245,0.35634606360342147,0.00032888033531097705,0.0,0.0,0.5,10.0,5000,per_query,86428341,0.0,0.0,40.636576201214865,0.7109262464813942,468.01130635617596,0.0,instanton_2007-10-03_T20_delta0.30_tau20_am200.npz
2007-10-03,60,0.2,0.2231435513142097,38,200.0,5.85621380580175,0.2231435513142097,0.22119213730587628,0.0019514140083334297,0.0,0.0,0.5,10.0,5000,per_query,2245567174,0.006093841136491225,0.000478927250751827,522.3293134111473,0.9674553764326458,78.03083691941397,0.147,instanton_2007-10-03_T60_delta0.20_tau38_am200.npz
2007-10-03,60,0.3,0.35667494393873245,52,200.0,9.612972468686772,0.35667494393873245,0.35470093574252104,0.0019740081962114076,0.0,0.0,0.5,10.0,5000,per_query,1086328435,3.0179036740632425e-05,3.2338317205411606e-06,174.91236198913532,0.9757851757767984,137.86740334251402,0.029,instanton_2007-10-03_T60_delta0.30_tau52_am200.npz
2007-10-04,20,0.2,0.2231435513142097,20,200.0,10.933671384551548,0.2231435513142097,0.2222904898293976,0.0008530614848121232,0.0,0.0,0.5,10.0,5000,per_query,3348148273,1.7211822468763165e-06,2.9520486296077105e-07,100.4411737947316,1.028429468619784,214.14577577898186,0.0094,instanton_2007-10-04_T20_delta0.20_tau20_am200.npz
2007-10-04,20,0.3,0.35667494393873245,20,200.0,24.304934940461965,0.35667494393873245,0.3562057888783743,0.0004691550603581618,0.0,0.0,0.5,10.0,5000,per_query,1087178753,0.0,0.0,22.695465389503536,0.9375676260462537,871.770355885752,0.0,instanton_2007-10-04_T20_delta0.30_tau20_am200.npz
2007-10-04,60,0.2,0.2231435513142097,30,200.0,7.390694809019705,0.2231435513142097,0.22123965617917207,0.0019038951350376365,0.0,0.0,0.5,10.0,5000,per_query,2451408251,0.004704832878084912,0.00041910050358201294,125.67005676197687,0.9841180244126414,335.1821038899141,0.1334,instanton_2007-10-04_T60_delta0.20_tau30_am200.npz
2007-10-04,60,0.3,0.35667494393873245,38,200.0,12.999439392658159,0.35667494393873245,0.354757750257197,0.001917193681535423,0.0,0.0,0.5,10.0,5000,per_query,380781359,1.8860136223307403e-05,3.257348488879459e-06,31.86572135208074,0.9400941082415076,718.0275806725499,0.0308,instanton_2007-10-04_T60_delta0.30_tau38_am200.npz
2007-10-05,20,0.2,0.2231435513142097,20,200.0,11.267269490780588,0.2231435513142097,0.22170152942195465,0.0014420218922550632,0.0,0.0,0.5,10.0,5000,per_query,1156980349,1.3335494820878767e-06,2.2124863032268483e-07,129.93536889079317,0.9636860205185603,205.23176275469416,0.0096,instanton_2007-10-05_T20_delta0.20_tau20_am200.npz
2007-10-05,20,0.3,0.35667494393873245,20,200.0,24.871687453263682,0.35667494393873245,0.3558827329534022,0.0007922109853302217,0.0,0.0,0.5,10.0,5000,per_query,1120547185,0.0,0.0,20.085964892416495,1.1004237562248658,997.2744037452832,0.0,instanton_2007-10-05_T20_delta0.30_tau20_am200.npz
2007-10-05,60,0.2,0.2231435513142097,23,200.0,9.824890002780373,0.2231435513142097,0.22119273634161196,0.0019508149725977475,0.0,0.0,0.5,10.0,5000,per_query,1320236006,0.0036315078986419494,0.0006258479283559239,57.37061191894887,1.148973781349809,542.1456346660777,0.1334,instanton_2007-10-05_T60_delta0.20_tau23_am200.npz
2007-10-05,60,0.3,0.35667494393873245,29,200.0,17.241566081772913,0.35667494393873245,0.3546994117022404,0.0019755322364920502,0.0,0.0,0.5,10.0,5000,per_query,998572186,1.826119257147687e-05,4.705179788709495e-06,43.52090210459059,0.7507316080769076,264.6189826756519,0.025,instanton_2007-10-05_T60_delta0.30_tau29_am200.npz
2007-10-08,20,0.2,0.2231435513142097,20,200.0,10.783829682801365,0.2231435513142097,0.22273219469968364,0.00041135661452607053,0.0,0.0,0.5,10.0,5000,per_query,3002310605,2.5924937067380173e-06,3.9611092407247254e-07,29.895480364736343,1.1871420474191756,995.3230577008386,0.0132,instanton_2007-10-08_T20_delta0.20_tau20_am200.npz
2007-10-08,20,0.3,0.35667494393873245,20,200.0,24.167139670472515,0.35667494393873245,0.35644478503414945,0.00023015890458299992,0.0,0.0,0.5,10.0,5000,per_query,1795016728,2.0750290751437877e-11,2.0750290751437877e-11,115.86957816883803,0.5736196041715945,132.1901212105852,0.0002,instanton_2007-10-08_T20_delta0.30_tau20_am200.npz
2007-10-08,60,0.2,0.2231435513142097,51,200.0,4.472819312068402,0.2231435513142097,0.2212335073324816,0.0019100439817281156,0.0,0.0,0.5,10.0,5000,per_query,3528481529,0.005675267680159923,0.00034285494611069377,734.4947291938729,1.0199900203139038,58.886583143968465,0.1232,instanton_2007-10-08_T60_delta0.20_tau51_am200.npz
2007-10-08,60,0.3,0.35667494393873245,60,200.0,8.450729327238225,0.35667494393873245,0.35483091979152004,0.0018440241472124086,0.0,0.0,0.5,10.0,5000,per_query,3493542270,3.191145269042234e-05,3.5620004594447724e-06,158.49357878153702,1.0097820163544111,209.55556206073288,0.0238,instanton_2007-10-08_T60_delta0.30_tau60_am200.npz
2007-10-09,20,0.2,0.2231435513142097,20,200.0,11.340999990750625,0.2231435513142097,0.2217020523916986,0.0014414989225111086,0.0,0.0,0.5,10.0,5000,per_query,3802950599,1.4489194635198953e-06,2.4546540624502466e-07,115.75559416682937,0.8797109316224414,225.83417498157178,0.0098,instanton_2007-10-09_T20_delta0.20_tau20_am200.npz
2007-10-09,20,0.3,0.35667494393873245,20,200.0,25.013609544795223,0.35667494393873245,0.3558740543355272,0.0008008896032052348,0.0,0.0,0.5,10.0,5000,per_query,49986309,0.0,0.0,19.12294163629165,1.2037843864575866,1223.9463803013816,0.0,instanton_2007-10-09_T20_delta0.30_tau20_am200.npz
2007-10-09,60,0.2,0.2231435513142097,23,200.0,9.888689878230352,0.2231435513142097,0.22118550849747898,0.0019580428167307318,0.0,0.0,0.5,10.0,5000,per_query,774020534,0.005017663298326608,0.0009301404515342007,299.24769771298304,0.7972369156456256,67.67161397544288,0.1328,instanton_2007-10-09_T60_delta0.20_tau23_am200.npz
2007-10-09,60,0.3,0.35667494393873245,29,200.0,17.337567820760878,0.35667494393873245,0.3547031031396557,0.0019718407990767517,0.0,0.0,0.5,10.0,5000,per_query,1944066956,4.726259686438332e-05,2.1918325344112866e-05,4.747572630242544,1.4183281659987896,3203.1850824142107,0.0268,instanton_2007-10-09_T60_delta0.30_tau29_am200.npz
2007-10-10,20,0.2,0.2231435513142097,20,200.0,11.2366011441759,0.2231435513142097,0.2221888459263628,0.0009547053878469214,0.0,0.0,0.5,10.0,5000,per_query,3075549602,1.450264283482637e-06,2.662005963121871e-07,32.057522028390466,1.0357206157282952,724.3863672244885,0.0096,instanton_2007-10-10_T20_delta0.20_tau20_am200.npz
2007-10-10,20,0.3,0.35667494393873245,20,200.0,24.874716045340623,0.35667494393873245,0.35614165765513395,0.0005332862835984997,0.0,0.0,0.5,10.0,5000,per_query,3854059065,1.5811285133795346e-11,1.5811285133795346e-11,39.827413823143736,0.8024129751547705,395.49574639471206,0.0002,instanton_2007-10-10_T20_delta0.30_tau20_am200.npz
2007-10-10,60,0.2,0.2231435513142097,28,200.0,8.106903962733666,0.2231435513142097,0.22125958791653044,0.001883963397679267,0.0,0.0,0.5,10.0,5000,per_query,391398616,0.003900743797300649,0.0003922813987924928,117.18304283390349,0.9977635402455896,309.98009138184045,0.1336,instanton_2007-10-10_T60_delta0.20_tau28_am200.npz
2007-10-10,60,0.3,0.35667494393873245,36,200.0,13.995988024733752,0.35667494393873245,0.3547070645624686,0.001967879376263859,0.0,0.0,0.5,10.0,5000,per_query,4146528351,4.5060653609779864e-05,1.693118312325679e-05,17.572953812402517,1.3904117810937882,1236.9937892715898,0.026,instanton_2007-10-10_T60_delta0.30_tau36_am200.npz
2007-10-11,20,0.2,0.2231435513142097,20,200.0,10.943068029776201,0.2231435513142097,0.2228153939193609,0.0003281573948488159,0.0,0.0,0.5,10.0,5000,per_query,2136428169,1.5321955085138847e-06,2.60808238421865e-07,42.91679808323715,1.1336990689827326,524.500603391832,0.009,instanton_2007-10-11_T20_delta0.20_tau20_am200.npz
2007-10-11,20,0.3,0.35667494393873245,20,200.0,24.537937569184866,0.35667494393873245,0.35648875609955155,0.00018618783918089576,0.0,0.0,0.5,10.0,5000,per_query,3645375946,0.0,0.0,81.44158539978311,0.7202107786835971,166.7163924006659,0.0,instanton_2007-10-11_T20_delta0.30_tau20_am200.npz
2007-10-11,60,0.2,0.2231435513142097,58,200.0,4.054758073498278,0.2231435513142097,0.2212697585942589,0.0018737927199508064,0.0,0.0,0.5,10.0,5000,per_query,330524365,0.0053319736035241025,0.0002511918926000063,930.1362876036235,0.9965289391546492,40.89691225294455,0.1184,instanton_2007-10-11_T60_delta0.20_tau58_am200.npz
2007-10-11,60,0.3,0.35667494393873245,60,200.0,8.576611768588773,0.35667494393873245,0.35517010762509926,0.0015048363136331844,0.0,0.0,0.5,10.0,5000,per_query,2613030621,2.45208783483237e-05,2.9586017353355644e-06,199.4530731085764,1.04646989528236,189.45786367408883,0.0212,instanton_2007-10-11_T60_delta0.30_tau60_am200.npz
