Date,check,lhs_Tdays,lhs_delta,rhs_Tdays,rhs_delta,lhs_p_hat,rhs_p_hat,lhs_se,rhs_se,combined_se,diff_lhs_minus_rhs,z_diff,raw_violation,sigma_violation
2007-12-19,delta_monotone_T60,60,0.2,60,0.3,0.1283287879708503,0.0075351540293984,0.002999653776495,0.0003708749558636,0.00302249417066891,0.12079363394145189,39.96488566087754,False,False
2007-12-19,horizon_monotone_d20,60,0.2,20,0.2,0.1283287879708503,0.0125078857079706,0.002999653776495,0.0005362141296915,0.0030472033689469317,0.1158209022628797,38.00891776478499,False,False
2007-12-19,horizon_monotone_d30,60,0.3,20,0.3,0.0075351540293984,1.2424851556389322e-05,0.0003708749558636,1.646007537276586e-06,0.00037087860847943225,0.007522729177842011,20.283534843609612,False,False
2007-12-20,delta_monotone_T20,20,0.2,20,0.3,0.00771858214025,4.932020072100533e-06,0.0003527983680888,7.215692625955536e-07,0.0003527991059913859,0.0077136501201779,21.864143046797402,False,False
2007-12-20,delta_monotone_T60,60,0.2,60,0.3,0.1031011036747146,0.0050087712853248,0.002683292366523,0.0002409326373268,0.002694087314837782,0.0980923323893898,36.41022763039,False,False
2007-12-20,horizon_monotone_d20,60,0.2,20,0.2,0.1031011036747146,0.00771858214025,0.002683292366523,0.0003527983680888,0.00270638589502065,0.09538252153446461,35.24350378486466,False,False
2007-12-20,horizon_monotone_d30,60,0.3,20,0.3,0.0050087712853248,4.932020072100533e-06,0.0002409326373268,7.215692625955536e-07,0.0002409337178384297,0.0050038392652526995,20.768530491063427,False,False
2007-12-21,delta_monotone_T20,20,0.2,20,0.3,0.0037352221642153,7.955929438569069e-07,0.0002005685679426,1.817630578559485e-07,0.0002005686503029687,0.0037344265712714432,18.619193805364947,False,False
2007-12-21,delta_monotone_T60,60,0.2,60,0.3,0.0755746007478206,0.0032211616486253,0.0020695947018022,0.000174889589714,0.0020769710152811634,0.0723534390991953,34.836036982153395,False,False
2007-12-21,horizon_monotone_d20,60,0.2,20,0.2,0.0755746007478206,0.0037352221642153,0.0020695947018022,0.0002005685679426,0.002079290739693293,0.0718393785836053,34.54994398436171,False,False
