Date,P,X,r,M,D,delta,V_proxy
2004-01-07,75.16707611083984,4.31971331741065,0.003370472073880748,4.329913446673915,0.01020012926326519,0.010148284369378202,0.009311295433385812
2004-01-08,75.4665756225586,4.323689851245331,0.003976533834681106,4.329913446673915,0.006223595428584083,0.006204268972687332,0.008754537841379426
2004-01-09,74.8076400756836,4.314920019813738,-0.008769831431592934,4.329913446673915,0.014993426860177017,0.014881585097135552,0.009723492609073377
2004-01-12,75.360107421875,4.322278055716601,0.0073580359028628806,4.329913446673915,0.0076353909573141365,0.007606315407902575,0.008830645531944067
2004-01-13,74.92081451416016,4.316431749302163,-0.005846306414437841,4.329913446673915,0.013481697371751977,0.013391226313905547,0.00921370583650186
2004-01-14,75.54645538330078,4.324747770123724,0.008316020821561132,4.329913446673915,0.005165676550190845,0.005152357387112172,0.009769399132785711
2004-01-15,75.73283386230469,4.32721180302912,0.002464032905395541,4.329913446673915,0.002701643644795304,0.0026979974898797554,0.009506393236763295
2004-01-16,76.03230285644531,4.33115828756825,0.003946484539130601,4.33115828756825,0.0,0.0,0.009578517543014873
2004-01-20,76.01238250732422,4.330896254743,-0.00026203282525028015,4.33115828756825,0.00026203282525028015,0.0002619984976479639,0.008004126729080229
2004-01-21,76.61139678955078,4.3387458488328345,0.007849594089834433,4.3387458488328345,0.0,0.0,0.008682565089954214
2004-01-22,76.4117660522461,4.336136690234232,-0.0026091585986023347,4.3387458488328345,0.0026091585986023347,0.0026057577027744916,0.008158795016284094
2004-01-23,76.16548156738281,4.332908362254724,-0.0032283279795084496,4.3387458488328345,0.005837486578110784,0.005820481558284296,0.008284989284306684
2004-01-26,77.12396240234375,4.34541402868084,0.012505666426116058,4.34541402868084,0.0,0.0,0.010242846329733931
2004-01-27,76.33187866210938,4.335090657876285,-0.010323370804554699,4.34541402868084,0.010323370804554699,0.010270267703599067,0.011578946333126812
2004-01-28,75.45993041992188,4.323601792456782,-0.011488865419503114,4.34541402868084,0.021812236224057813,0.0215760696233539,0.011039338961098728
2004-01-29,75.53314208984375,4.324571528014079,0.000969735557297291,4.34541402868084,0.02084250066676052,0.0206267969506152,0.011050784157052395
2004-01-30,75.53314208984375,4.324571528014079,0.0,4.34541402868084,0.02084250066676052,0.0206267969506152,0.011040593542687339
